topicId,words..
1,kingdom ship letter american americans long account small ships parts
2,king chief people vessel island captain natives crew port time
3,river miles country mr town place dollars work half english
4,states united state america british trade colonies means great act
5,canada ditto men arrived governor june john upper quebec days
6,mr present public house time committee bill lord subject gentlemen
7,inform indians war native killed great provisions found extract part
8,south colony emigration persons number wales emigrants company society london
9,country land good years government made great year people money
10,general received st west north state town fort brought army
